userId,movieId,rating,name
2,3,4,GoldenEye (1995)
2,6,5,Sense and Sensibility (1995)
2,13,5,Clueless (1995)
2,14,4,Seven (a.k.a. Se7en) (1995)
2,15,4,"Usual Suspects, The (1995)"
2,16,3,Mr. Holland's Opus (1995)
2,19,4,Braveheart (1995)
2,22,5,Apollo 13 (1995)
2,23,4,Batman Forever (1995)
2,24,3,Crimson Tide (1995)
2,25,3,Die Hard: With a Vengeance (1995)
2,26,3,"Net, The (1995)"
2,27,3,Waterworld (1995)
2,28,1,Clerks (1994)
2,30,4,Interview with the Vampire: The Vampire Chronicles (1994)
2,33,3,Outbreak (1995)
2,35,4,Pulp Fiction (1994)
2,36,3,Quiz Show (1994)
2,41,3,While You Were Sleeping (1995)
2,43,4,Clear and Present Danger (1994)
2,44,3,Forrest Gump (1994)
2,45,3,Four Weddings and a Funeral (1994)
2,46,3,"Lion King, The (1994)"
2,47,3,"Mask, The (1994)"
2,48,3,Speed (1994)
2,53,4,"Firm, The (1993)"
2,54,3,"Fugitive, The (1993)"
2,55,2,In the Line of Fire (1993)
2,56,4,Jurassic Park (1993)
2,57,4,Mrs. Doubtfire (1993)
2,58,4,Philadelphia (1993)
2,59,4,Schindler's List (1993)
2,60,3,Sleepless in Seattle (1993)
2,62,5,"Nightmare Before Christmas, The (1993)"
2,63,3,Home Alone (1990)
2,64,3,Ghost (1990)
2,65,3,Aladdin (1992)
2,66,5,Terminator 2: Judgment Day (1991)
2,67,5,Dances with Wolves (1990)
2,68,5,Batman (1989)
2,69,3,"Silence of the Lambs, The (1991)"
3,19,4,Braveheart (1995)
3,35,4,Pulp Fiction (1994)
3,38,5,"Shawshank Redemption, The (1994)"
3,44,5,Forrest Gump (1994)
3,48,2,Speed (1994)
3,59,3,Schindler's List (1993)
3,65,3,Aladdin (1992)
3,68,3,Batman (1989)
3,69,3,"Silence of the Lambs, The (1991)"
3,70,2,Beauty and the Beast (1991)
3,75,3,Twister (1996)
3,77,4,Trainspotting (1996)
3,96,5,"Princess Bride, The (1987)"
3,102,3,Star Wars: Episode VI - Return of the Jedi (1983)
3,128,3,Men in Black (a.k.a. MIB) (1997)
3,135,4,Titanic (1997)
3,145,4,Saving Private Ryan (1998)
3,160,3,Ghostbusters (a.k.a. Ghost Busters) (1984)
3,161,3,"Sixth Sense, The (1999)"
3,164,4,American Beauty (1999)
3,167,5,Fight Club (1999)
3,193,3,Spider-Man (2002)
3,202,3,Finding Nemo (2003)
