,userId,movieId,rating,timestamp,index,counts
0,1,31,2.5,1260759144,0,42
1,1,1029,3.0,1260759179,1,42
2,1,1061,3.0,1260759182,2,33
3,1,1129,2.0,1260759185,3,48
4,1,1172,4.0,1260759205,4,46
5,1,1263,2.0,1260759151,5,48
6,1,1287,2.0,1260759187,6,46
7,1,1293,2.0,1260759148,7,46
8,1,1339,3.5,1260759125,8,52
9,1,1343,2.0,1260759131,9,39
10,1,1371,2.5,1260759135,10,47
11,1,1405,1.0,1260759203,11,46
12,1,1953,4.0,1260759191,12,46
13,1,2105,4.0,1260759139,13,47
14,1,2150,3.0,1260759194,14,36
15,1,2193,2.0,1260759198,15,42
16,1,2294,2.0,1260759108,16,53
17,1,2455,2.5,1260759113,17,47
18,1,2968,1.0,1260759200,18,43
19,1,3671,3.0,1260759117,19,62
20,2,10,4.0,835355493,20,122
21,2,17,5.0,835355681,21,86
22,2,39,5.0,835355604,22,120
23,2,47,4.0,835355552,23,201
24,2,50,4.0,835355586,24,201
25,2,52,3.0,835356031,25,51
26,2,62,3.0,835355749,26,87
27,2,110,4.0,835355532,27,228
28,2,144,3.0,835356016,28,26
29,2,150,5.0,835355395,29,200
30,2,153,4.0,835355441,30,129
31,2,161,3.0,835355493,31,80
32,2,165,3.0,835355441,32,142
33,2,168,3.0,835355710,33,43
34,2,185,3.0,835355511,34,102
35,2,186,3.0,835355664,35,48
36,2,208,3.0,835355511,36,113
37,2,222,5.0,835355840,37,22
38,2,223,1.0,835355749,38,109
39,2,225,3.0,835355552,39,52
40,2,235,3.0,835355664,40,78
42,2,253,4.0,835355511,42,125
43,2,261,4.0,835355681,43,51
44,2,265,5.0,835355697,44,62
45,2,266,5.0,835355586,45,73
46,2,272,3.0,835355767,46,39
47,2,273,4.0,835355779,47,27
48,2,292,3.0,835355492,48,110
49,2,296,4.0,835355395,49,324
50,2,300,3.0,835355532,50,90
52,2,317,2.0,835355551,52,70
53,2,319,1.0,835355918,53,38
54,2,339,3.0,835355492,54,101
55,2,349,4.0,835355441,55,115
56,2,350,4.0,835355697,56,70
57,2,356,3.0,835355628,57,341
58,2,357,3.0,835355749,58,122
59,2,364,3.0,835355604,59,200
60,2,367,3.0,835355619,60,157
61,2,370,2.0,835355932,61,67
62,2,371,3.0,835355968,62,20
63,2,372,3.0,835356094,63,34
64,2,377,3.0,835355710,64,180
67,2,410,3.0,835355532,67,73
68,2,454,4.0,835355604,68,110
69,2,457,3.0,835355511,69,213
70,2,468,4.0,835355790,70,33
71,2,474,2.0,835355828,71,80
72,2,480,4.0,835355643,72,274
73,2,485,3.0,835355918,73,53
74,2,497,3.0,835355880,74,60
75,2,500,4.0,835355731,75,153
76,2,508,4.0,835355860,76,86
77,2,509,4.0,835355719,77,78
78,2,515,4.0,835355817,78,46
79,2,527,4.0,835355731,79,244
81,2,539,3.0,835355767,81,125
83,2,551,5.0,835355767,83,90
84,2,552,3.0,835355860,84,50
85,2,585,5.0,835355817,85,41
86,2,586,3.0,835355790,86,129
87,2,587,3.0,835355779,87,126
88,2,588,3.0,835355441,88,215
89,2,589,5.0,835355697,89,237
90,2,590,5.0,835355395,90,202
91,2,592,5.0,835355395,91,196
92,2,593,3.0,835355511,92,304
93,2,616,3.0,835355932,93,42
94,2,661,4.0,835356141,94,53
95,2,720,4.0,835355978,95,45
96,3,60,3.0,1298861675,96,32
97,3,110,4.0,1298922049,97,228
98,3,247,3.5,1298861637,98,43
100,3,296,4.5,1298862418,100,324
101,3,318,5.0,1298862121,101,311
102,3,355,2.5,1298861589,102,39
103,3,356,5.0,1298862167,103,341
104,3,377,2.5,1298923242,104,180
105,3,527,3.0,1298862528,105,244
106,3,588,3.0,1298922100,106,215
107,3,592,3.0,1298923247,107,196
108,3,593,3.0,1298921840,108,304
109,3,595,2.0,1298923260,109,176
110,3,736,3.5,1298932787,110,150
111,3,778,4.0,1298863157,111,124
112,3,866,3.0,1298861687,112,27
113,3,1197,5.0,1298932770,113,163
114,3,1210,3.0,1298921795,114,217
115,3,1235,4.0,1298861628,115,44
116,3,1271,3.0,1298861605,116,40
117,3,1378,4.0,1298861658,117,28
118,3,1580,3.5,1298922089,118,190
119,3,1721,4.5,1298923236,119,164
120,3,1884,4.0,1298863143,120,44
121,3,2028,4.0,1298921862,121,191
122,3,2318,4.0,1298861753,122,23
124,3,2694,3.0,1298862710,124,29
125,3,2702,3.5,1298861796,125,21
126,3,2716,3.0,1298924017,126,147
127,3,2762,3.5,1298922057,127,193
128,3,2841,4.0,1298861733,128,22
129,3,2858,4.0,1298921825,129,220
130,3,2959,5.0,1298862874,130,202
132,3,3510,4.0,1298861633,132,41
133,3,3949,5.0,1298863174,133,69
134,3,5349,3.0,1298923266,134,134
135,3,5669,3.5,1298862672,135,58
136,3,6377,3.0,1298922080,136,122
137,3,7153,2.5,1298921787,137,176
138,3,7361,3.0,1298922065,138,106
139,3,8622,3.5,1298861650,139,46
140,3,8636,3.0,1298932766,140,84
142,3,44191,3.5,1298932740,142,73
145,3,58559,3.0,1298922071,145,121
147,4,10,4.0,949810645,147,122
148,4,34,5.0,949919556,148,148
149,4,112,5.0,949810582,149,49
150,4,141,5.0,949919681,150,93
151,4,153,4.0,949811346,151,129
152,4,173,3.0,949811346,152,70
153,4,185,3.0,949920047,153,102
154,4,260,5.0,949779042,154,291
156,4,296,5.0,949895708,156,324
157,4,329,3.0,949810618,157,114
158,4,349,5.0,949810582,158,115
159,4,356,5.0,949919763,159,341
160,4,357,5.0,949919681,160,122
161,4,364,5.0,949949538,161,200
162,4,367,4.0,949895887,162,157
163,4,380,3.0,949810534,163,198
164,4,410,3.0,949919883,164,73
165,4,431,3.0,949895772,165,32
166,4,434,4.0,949810688,166,106
167,4,435,1.0,949920135,167,55
168,4,440,4.0,949919802,168,90
169,4,442,4.0,949920028,169,95
171,4,480,5.0,949810582,171,274
172,4,541,5.0,949779091,172,146
173,4,588,5.0,949949486,173,215
174,4,589,5.0,949919938,174,237
175,4,590,3.0,949810534,175,202
176,4,594,5.0,949949538,176,71
177,4,596,5.0,949949638,177,66
178,4,610,4.0,949982238,178,33
179,4,616,5.0,949949444,179,42
180,4,858,5.0,949779022,180,200
181,4,903,5.0,949919189,181,69
182,4,910,4.0,949919306,182,66
183,4,913,5.0,949919247,183,62
184,4,919,5.0,949949396,184,117
187,4,1022,5.0,949949638,187,55
188,4,1028,5.0,949949638,188,78
190,4,1031,5.0,949896377,190,22
191,4,1032,5.0,949949538,191,49
192,4,1033,5.0,949949638,192,21
193,4,1036,5.0,949896244,193,151
194,4,1073,5.0,949919372,194,148
195,4,1079,5.0,949811523,195,89
196,4,1089,5.0,949895732,196,132
197,4,1097,5.0,949778771,197,160
198,4,1125,5.0,949919399,198,28
199,4,1127,5.0,949896275,199,71
200,4,1136,5.0,949919372,200,145
202,4,1196,5.0,949779173,202,234
203,4,1197,5.0,949811490,203,163
204,4,1198,5.0,949779173,204,220
205,4,1200,5.0,949896244,205,125
206,4,1206,5.0,949896159,206,121
207,4,1208,5.0,949779173,207,112
208,4,1210,5.0,949778714,208,217
209,4,1213,5.0,949895708,209,131
210,4,1214,5.0,949810261,210,127
211,4,1219,5.0,949779173,211,77
212,4,1220,5.0,949811523,212,94
213,4,1222,5.0,949918693,213,104
214,4,1225,5.0,949779173,214,100
215,4,1230,5.0,949919372,215,80
216,4,1240,5.0,949896244,216,158
217,4,1243,5.0,949919519,217,22
218,4,1257,5.0,949811602,218,24
219,4,1258,5.0,949918743,219,101
220,4,1259,4.0,949811559,220,112
221,4,1265,5.0,949919591,221,165
222,4,1270,5.0,949811523,222,226
223,4,1278,5.0,949919372,223,74
224,4,1282,5.0,949949396,224,64
225,4,1285,4.0,949811559,225,61
226,4,1288,5.0,949811490,226,82
227,4,1291,5.0,949918743,227,147
