userId,movieId,rating,name
1,20,2,Dangerous Minds (1995)
1,303,3,Dumbo (1941)
1,316,3,Sleepers (1996)
1,341,2,Escape from New York (1981)
1,346,4,Cinema Paradiso (Nuovo cinema Paradiso) (1989)
1,406,2,"Deer Hunter, The (1978)"
1,423,2,Ben-Hur (1959)
1,427,2,Gandhi (1982)
1,438,3,Dracula (Bram Stoker's Dracula) (1992)
1,439,2,Cape Fear (1991)
1,450,2,Star Trek: The Motion Picture (1979)
1,465,1,Beavis and Butt-Head Do America (1996)
1,559,4,"French Connection, The (1971)"
1,608,4,Tron (1982)
1,626,3,"Gods Must Be Crazy, The (1980)"
1,632,2,Willow (1988)
1,646,2,Antz (1998)
1,686,2,"Fly, The (1986)"
1,784,1,Time Bandits (1981)
1,896,3,Blazing Saddles (1974)
2,7,4,GoldenEye (1995)
2,11,5,Sense and Sensibility (1995)
2,24,5,Clueless (1995)
2,28,4,Seven (a.k.a. Se7en) (1995)
2,30,4,"Usual Suspects, The (1995)"
2,31,3,Mighty Aphrodite (1995)
2,34,3,Mr. Holland's Opus (1995)
2,46,4,Braveheart (1995)
2,53,3,"Brothers McMullen, The (1995)"
2,56,5,Apollo 13 (1995)
2,58,4,Batman Forever (1995)
2,61,3,Crimson Tide (1995)
2,65,3,Die Hard: With a Vengeance (1995)
2,66,3,First Knight (1995)
2,72,3,"Net, The (1995)"
2,73,3,Nine Months (1995)
2,81,3,Waterworld (1995)
2,83,5,Circle of Friends (1995)
2,84,1,Clerks (1994)
2,86,3,Disclosure (1994)
2,90,3,Ed Wood (1994)
2,97,4,Interview with the Vampire: The Vampire Chronicles (1994)
2,100,4,Little Women (1994)
2,102,5,Like Water for Chocolate (Como agua para chocolate) (1992)
2,103,5,Legends of the Fall (1994)
2,104,3,"Madness of King George, The (1994)"
2,105,4,Mary Shelley's Frankenstein (Frankenstein) (1994)
2,111,3,Outbreak (1995)
2,113,4,Pulp Fiction (1994)
2,114,3,Quiz Show (1994)
2,121,2,"Santa Clause, The (1994)"
2,123,1,Shallow Grave (1994)
2,128,3,While You Were Sleeping (1995)
2,133,4,Clear and Present Danger (1994)
2,134,4,"Client, The (1994)"
2,137,3,Forrest Gump (1994)
2,138,3,Four Weddings and a Funeral (1994)
2,141,3,"Lion King, The (1994)"
2,142,3,"Mask, The (1994)"
2,144,2,Naked Gun 33 1/3: The Final Insult (1994)
2,145,3,"Paper, The (1994)"
2,146,3,Reality Bites (1994)
2,149,3,Speed (1994)
2,153,3,Addams Family Values (1993)
2,165,4,"Firm, The (1993)"
2,167,3,"Fugitive, The (1993)"
2,169,4,"Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)"
2,171,2,In the Line of Fire (1993)
2,173,4,Jurassic Park (1993)
2,175,3,Last Action Hero (1993)
2,180,3,Much Ado About Nothing (1993)
2,181,4,Mrs. Doubtfire (1993)
2,182,4,Philadelphia (1993)
2,183,4,"Piano, The (1993)"
2,184,4,"Remains of the Day, The (1993)"
2,188,4,Schindler's List (1993)
2,194,3,Sleepless in Seattle (1993)
2,197,5,"Nightmare Before Christmas, The (1993)"
2,198,3,"Three Musketeers, The (1993)"
2,202,5,"Brady Bunch Movie, The (1995)"
2,203,3,Home Alone (1990)
2,204,3,Ghost (1990)
2,205,3,Aladdin (1992)
2,206,5,Terminator 2: Judgment Day (1991)
2,207,5,Dances with Wolves (1990)
2,208,5,Batman (1989)
2,209,3,"Silence of the Lambs, The (1991)"
2,216,3,"Aristocats, The (1970)"
2,222,4,James and the Giant Peach (1996)
2,229,4,Wallace & Gromit: The Best of Aardman Animation (1996)
3,33,3,"Indian in the Cupboard, The (1995)"
3,46,4,Braveheart (1995)
3,94,3,Heavenly Creatures (1994)
3,113,4,Pulp Fiction (1994)
3,122,5,"Shawshank Redemption, The (1994)"
3,136,2,"Flintstones, The (1994)"
3,137,5,Forrest Gump (1994)
3,149,2,Speed (1994)
3,188,3,Schindler's List (1993)
3,205,3,Aladdin (1992)
3,208,3,Batman (1989)
3,209,3,"Silence of the Lambs, The (1991)"
3,211,2,Beauty and the Beast (1991)
3,232,3,Twister (1996)
3,239,4,Trainspotting (1996)
3,256,3,Bound (1996)
3,356,5,"Princess Bride, The (1987)"
3,366,3,Star Wars: Episode VI - Return of the Jedi (1983)
3,385,4,Harold and Maude (1971)
3,412,3,Fried Green Tomatoes (1991)
3,457,4,Young Guns (1988)
3,493,3,Men in Black (a.k.a. MIB) (1997)
3,525,4,Titanic (1997)
3,542,4,Fear and Loathing in Las Vegas (1998)
3,591,4,Saving Private Ryan (1998)
3,651,4,Happiness (1998)
3,728,3,Big Daddy (1999)
3,732,3,Summer of Sam (1999)
3,738,3,Ghostbusters (a.k.a. Ghost Busters) (1984)
3,750,3,"Sixth Sense, The (1999)"
3,764,4,Stir of Echoes (1999)
3,766,4,American Beauty (1999)
3,783,5,Fight Club (1999)
3,879,4,Frequency (2000)
3,931,5,Requiem for a Dream (2000)
3,1022,3,Spider-Man (2002)
3,1037,3,Bowling for Columbine (2002)
3,1066,3,Finding Nemo (2003)
3,1096,2,"Lord of the Rings: The Return of the King, The (2003)"
3,1101,3,Eternal Sunshine of the Spotless Mind (2004)
3,1117,3,Fahrenheit 9/11 (2004)
3,1118,3,Spider-Man 2 (2004)
3,1174,3,V for Vendetta (2006)
3,1220,3,"Dark Knight, The (2008)"
4,7,4,GoldenEye (1995)
4,22,5,Babe (1995)
4,48,5,Rumble in the Bronx (Hont faan kui) (1995)
4,52,5,"Birdcage, The (1996)"
4,58,4,Batman Forever (1995)
4,69,3,Judge Dredd (1995)
4,72,3,"Net, The (1995)"
4,99,5,Star Wars: Episode IV - A New Hope (1977)
4,113,5,Pulp Fiction (1994)
4,125,3,Star Trek: Generations (1994)
4,133,5,Clear and Present Danger (1994)
4,137,5,Forrest Gump (1994)
4,138,5,Four Weddings and a Funeral (1994)
4,141,5,"Lion King, The (1994)"
4,142,4,"Mask, The (1994)"
4,151,3,True Lies (1994)
4,153,3,Addams Family Values (1993)
4,158,3,Carlito's Way (1993)
4,160,4,Cliffhanger (1993)
4,161,1,Coneheads (1993)
4,162,4,Dave (1993)
4,164,4,Demolition Man (1993)
4,173,5,Jurassic Park (1993)
4,195,5,Blade Runner (1982)
4,205,5,Aladdin (1992)
4,206,5,Terminator 2: Judgment Day (1991)
4,207,3,Dances with Wolves (1990)
4,210,5,Snow White and the Seven Dwarfs (1937)
4,212,5,Pinocchio (1940)
4,215,4,Heavy Metal (1981)
4,216,5,"Aristocats, The (1970)"
4,255,5,"Godfather, The (1972)"
4,262,5,Vertigo (1958)
4,267,4,Some Like It Hot (1959)
4,270,5,"Maltese Falcon, The (1941)"
4,274,5,"Wizard of Oz, The (1939)"
4,299,5,Cinderella (1950)
4,302,5,Mary Poppins (1964)
4,304,5,Bedknobs and Broomsticks (1971)
4,305,5,Alice in Wonderland (1951)
4,306,5,"Fox and the Hound, The (1981)"
4,308,5,Die Hard (1988)
4,317,5,Willy Wonka & the Chocolate Factory (1971)
4,319,5,"Fish Called Wanda, A (1988)"
4,325,5,Reservoir Dogs (1992)
4,333,5,E.T. the Extra-Terrestrial (1982)
4,339,5,"Return of the Pink Panther, The (1975)"
4,340,5,"Abyss, The (1989)"
4,343,5,Monty Python and the Holy Grail (1975)
4,355,5,Star Wars: Episode V - The Empire Strikes Back (1980)
4,356,5,"Princess Bride, The (1987)"
4,357,5,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)
4,359,5,Aliens (1986)
4,363,5,"Clockwork Orange, A (1971)"
4,365,5,Apocalypse Now (1979)
4,366,5,Star Wars: Episode VI - Return of the Jedi (1983)
4,368,5,Goodfellas (1990)
4,369,5,Alien (1979)
4,372,5,Psycho (1960)
4,373,5,"Blues Brothers, The (1980)"
4,375,5,Full Metal Jacket (1987)
4,378,5,Amadeus (1984)
4,381,5,Annie Hall (1977)
4,386,5,"Terminator, The (1984)"
4,388,5,Rosencrantz and Guildenstern Are Dead (1990)
4,400,5,Better Off Dead... (1985)
4,401,5,"Shining, The (1980)"
4,402,4,Stand by Me (1986)
4,407,5,Groundhog Day (1993)
4,411,5,Back to the Future (1985)
